Spot	Secondary forest	X	Y
QUm0Q10x	0	191456.085	9729643.204
QUm0Q12N	0	191475.647	9729875.676
QUm0Q12S	0	191481.959	9729783.728
QUm0Q12x	0	191474.451	9729843.712
QUm0Q13x	0	191487.81	9729948.119
QUm0Q14x	0	191486.953	9730037.55
QUm0Q16x	0	191498.529	9730197.676
QUm0Q18x	0	191522.193	9730430.408
QUm0Q20N	0	191539.779	9730676.563
QUm0Q20S	0	191530.749	9730575.509
QUm0Q20x	0	191539.495	9730636.363
QUm0Q22x	0	191548.535	9730831.485
QUm0Q24x	0	191558.75	9731036.182
QUm0U04x	0	191030.032	9729076.512
QUm0U06x	0	191039.228	9729271.671
QUm0U07x	0	191043.284	9729381.293
QUm0U08x	0	191046.381	9729469.896
QUm0U10x	0	191065.007	9729679.455
QUm0U11x	0	191083.783	9729769.97
QUm0U12x	0	191083.671	9729861.863
QUm0U14x	0	191093.099	9730067.18
QUm0U16x	0	191103.07	9730269.067
QUm0U18x	0	191114.257	9730484.275
QUm0U20x	0	191141.219	9730665.446
QUm0U22x	0	191167.528	9730869.646
QUm0U24x	0	191162.078	9731079.006
QUm0X24x	0	190975.603	9731094.088
QUmAB08N	0	190667.368	9729539.913
QUmAB08S	0	190657.448	9729439.189
QUmAB08x	0	190660.377	9729473.916
QUmAB10x	0	190679.024	9729706.937
QUmAB12x	0	190695.046	9729903.104
QUmAB14x	0	190699.285	9730107.899
QUmAB16N	0	190716.801	9730340.886
QUmAB16S	0	190716.34	9730240.735
QUmAB16x	0	190706.536	9730301.848
QUmAB18x	0	190728.287	9730499.423
QUmAB20x	0	190745.574	9730716.404
QUmAB22x	0	190752.837	9730945.19
QUmAB24L	0	190849.135	9731101.857
QUmAB24S	0	190764.227	9731038.162
QUmAB24x	0	190774.301	9731106.998
QUmCC08L	0	193275.726	9729309.254
QUmCC08O	0	193170.204	9729311.914
QUmCC08x	0	193214.689	9729313.096
QUmCC10x	0	193243.713	9729517.694
QUmCC12x	0	193254.876	9729720.473
QUmCC13x	0	193266.215	9729822.297
QUmCC14x	0	193256.407	9729909.822
QUmCC16N	0	193282.544	9730162.797
QUmCC16S	0	193276.969	9730059.096
QUmCC16x	0	193281.415	9730117.033
QUmCC18x	0	193298.561	9730320.448
QUmCC20x	0	193308.609	9730505.905
QUmCC22x	0	193326.982	9730695.094
QUmCC24N	0	193332.924	9730944.167
QUmCC24S	0	193317.101	9730844.208
QUmCC24x	0	193339.521	9730917.82
QumEE24x	0	193594.12	9730915.331
QUmGG08x	0	193586.28	9729285.041
QUmGG09x	0	193620.728	9729384.506
QUmGG10x	0	193619.144	9729472.788
QUmGG12x	0	193629.755	9729684.783
QUmGG14x	0	193656.789	9729887.938
QUmGG16x	0	193673.125	9730084.721
QUmGG18x	0	193691.035	9730274.84
QUmGG20x	0	193750.275	9730467.713
QUmGG22x	0	193803.272	9730660.156
QUmGG24x	0	193871.466	9730903.487
QUmKK08x	0	194022.175	9729253.346
QUmKK09x	0	194033.034	9729351.894
QUmKK10x	0	194038.521	9729455.713
QUmKK12x	0	194058.669	9729661.847
QUmKK14x	0	194068.313	9729879.949
QUmKK16x	0	194080.348	9730048.135
QUmKK18x	0	194092.336	9730229.446
QUmKK20x	0	194115.584	9730455.729
QUmKK22x	0	194141.157	9730632.415
QUmKK23x	0	194162.682	9730729.503
QUmKK24x	0	194154.331	9730888.144
QUmMM24x	0	194346.2546	9730838.49
QUmOO08x	0	194410.604	9729226.478
QUmOO10x	0	194440.696	9729413.71
QUmOO12x	0	194457.626	9729615.688
QUmOO14x	0	194472.908	9729825.28
QUmOO16x	0	194487.464	9730002.242
QUmOO17x	0	194488.222	9730129.882
QUmOO18x	0	194509.764	9730228.761
QUmOO20x	0	194521.525	9730396.614
QUmOO22x	0	194530.935	9730498.097
QUmOO24x	0	194561.273	9730795.956
TSm0001x	0	187864.596	9732027.113
TSm0002x	0	187484.26	9732247.307
TSm0003x	0	187140.623	9732464.165
TSm0004x	0	186506.73	9732620.97
TSm0005N	0	186398.65	9732017.904
TSm0005S	0	186390.416	9731905.644
TSm0005x	0	186383.288	9731960.387
TSm0006x	0	186496.721	9731022.893
TSm0007x	0	189746.34	9730842.051
TSm0008x	0	189269.1595	9730817.422
TSm0009x	0	189142.9376	9730392.578
TSm0010x	0	188699.622	9730832.815
TSm0011x	0	188844.315	9731343.86
TSm0012L	0	188341.073	9731727.299
TSm0012O	0	188253.41	9731808.493
TSm0012x	0	188299.555	9731760.051
TSm0013L	0	187662.793	9732163.638
TSm0013O	0	187563.916	9732208.33
TSm0013x	0	187608.907	9732176.523
TSm0014L	0	186947.938	9732540.975
TSm0014O	0	186860.309	9732605.333
TSm0014x	0	186902.113	9732579.569
TSm0015N	0	186470.888	9731212.709
TSm0015S	0	186456.993	9731108.855
TSm0015x	0	186456.205	9731170.272
TSm0016N	0	189279.981	9730364.58
TSm0016O	0	189182.179	9730345.67
TSm0016x	0	189234.821	9730318.091
TSm0017L	0	188586.355	9730946.794
TSm0017N	0	188525.967	9731032.721
TSm0017x	0	188516.682	9731002.385
TSm0018O	0	189861.76	9731091.606
TSm0018S	0	189898.309	9730996.612
TSm0018x	0	189917.9681	9731059.234
TSm0019L	0	189264.099	9731674.49
TSm0019S	0	189168.862	9731665.876
TSm0019x	0	189207.655	9731727.103
TSm0020L	0	189180.953	9730925.289
TSm0020O	0	189098.033	9731000.234
TSm0020x	0	189142.095	9730941.816
TSm0021x	0	186124.1609	9731635.046
TSm0022x	0	186549.8184	9733103.399
TSm0023x	0	189959.9318	9729592.831
TSm0024x	0	190052.5281	9729615.981
TSm0025x	0	190147.2946	9729640.576
TSm0026x	0	190241.3378	9729666.619
TSm0027x	0	190342.615	9729692.662
TSm0028x	0	189936.7827	9729684.704
TSm0029x	0	190030.8258	9729708.577
TSm0030x	0	190127.0392	9729733.896
TSm0031x	0	190218.9121	9729759.215
TSm0032x	0	190318.0191	9729783.811
TSm0033x	0	189915.0804	9729781.641
TSm0034x	0	190009.1236	9729804.79
TSm0035x	0	190103.1667	9729832.28
TSm0036x	0	190199.3801	9729853.982
TSm0037x	0	190294.1466	9729879.301
TSm0038x	0	189888.3143	9729880.748
TSm0039x	0	189983.8043	9729900.28
TSm0040x	0	190078.5708	9729926.323
TSm0041x	0	190173.3374	9729952.366
TSm0042x	0	190270.9975	9729976.962
TSm0043x	0	189864.4418	9729984.919
TSm0044x	0	189961.3786	9730010.962
TSm0045x	0	190053.2515	9730035.558
TSm0046x	0	190149.4649	9730057.983
TSm0047x	0	190242.0612	9730086.196
